Player,FPTS,ROST,Team,Pos
Jaguars,0.0,2.3%,JAC,DST
Colts,0.0,81.5%,IND,DST
Texans,0.0,12.1%,HOU,DST
Packers,0.0,33.9%,GB,DST
Lions,0.0,1.1%,DET,DST
Broncos,0.0,46.4%,DEN,DST
Cowboys,0.0,67.0%,DAL,DST
Browns,0.0,37.4%,CLE,DST
Bengals,0.0,14.9%,CIN,DST
Bears,0.0,22.6%,CHI,DST
Panthers,0.0,35.3%,CAR,DST
Bills,0.0,95.0%,BUF,DST
Ravens,0.0,77.4%,BAL,DST
Team,0.0,27.6%,WAS,DST
Jason Myers,13.0,21.6%,SEA,K
Wil Lutz,11.0,3.3%,NO,K
Dustin Hopkins,11.0,8.9%,LAC,K
Nick Folk,11.0,87.3%,NE,K
Cairo Santos,10.0,2.1%,CHI,K
Matt Bryant,10.0,1.1%,FA,K
Mason Crosby,9.0,23.0%,GB,K
Josh Lambo,9.0,3.3%,FA,K
Justin Tucker,9.0,98.6%,BAL,K
Chris Boswell,9.0,60.9%,PIT,K
Graham Gano,9.0,34.0%,NYG,K
Sebastian Janikowski,8.0,20.0%,FA,K
Matt Prater,8.0,33.3%,ARI,K
Ryan Succop,4.0,53.8%,TB,K
Brandon McManus,3.0,45.3%,DEN,K
Randy Bullock,2.0,10.2%,TEN,K
Daniel Carlson,0.0,77.5%,LV,K
Jason Sanders,0.0,32.0%,MIA,K
Greg Joseph,0.0,74.0%,MIN,K
Michael Badgley,0.0,29.8%,IND,K
Matt Gay,0.0,81.9%,LAR,K
Younghoe Koo,0.0,43.4%,ATL,K
Joey Slye,0.0,3.3%,WAS,K
Aldrick Rosas,0.0,1.8%,DET,K
Jake Elliott,0.0,19.0%,PHI,K
Zane Gonzalez,0.0,3.5%,CAR,K
Harrison Butker,0.0,85.7%,KC,K
Chase McLaughlin,0.0,8.4%,CLE,K
Evan McPherson,0.0,31.5%,CIN,K
Brian Johnson,0.0,4.4%,WAS,K
Rodrigo Blankenship,0.0,4.8%,IND,K
Tyler Bass,0.0,88.3%,BUF,K
Robbie Gould,0.0,21.6%,SF,K
Michael Palardy,0.0,33.3%,MIA,K
Kai Forbath,0.0,3.0%,LAR,K
Greg Zuerlein,0.0,56.5%,DAL,K
