,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
188,Damiere Byrd,WR,CAR,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,11,11,11.0
189,J.J. Nelson,WR,ARI,2,0,1,4,3,16,80,65,bye,49,30,37,34,22,46,42,41,472,31.5
190,Tyrell Williams,WR,SD,44,50,52,67,34,48,66,59,66,73,0,49,53,61,52,56,62,892,55.8
191,Raheem Mostert,RB,Multi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.3
192,Eric Tomlinson,TE,NYJ,0,0,0,0,0,0,0,0,0,6,bye,7,10,29,23,26,34,135,19.3
193,Rod Smith,RB,DAL,0,0,0,0,2,0,bye,2,0,0,0,0,0,0,0,0,0,4,0.6
194,Dan Brown,TE,Multi,0,0,0,0,0,0,0,0,0,0,0,49,30,37,53,46,46,261,32.6
195,Adam Humphries,WR,TB,49,58,58,39,31,bye,38,48,73,49,41,39,14,0,40,32,37,646,43.1
196,Ross Travis,TE,KC,12,6,11,6,bye,0,0,0,0,17,4,0,0,0,0,0,0,56,9.3
197,Beau Brinkley,TE,TEN,0,0,0,0,0,0,1,0,0,0,0,0,bye,0,0,0,0,1,0.1
198,Laquon Treadwell,WR,MIN,0,2,0,2,8,bye,0,0,17,0,6,34,11,0,0,0,0,80,8.9
199,Ezekiel Elliott,RB,DAL,48,43,50,47,45,58,bye,64,44,43,50,46,43,44,58,29,0,712,47.5
200,Jared Goff,QB,LAR,0,0,0,0,0,0,0,bye,0,0,62,53,51,72,51,59,44,392,56.0
201,Corey Coleman,WR,CLE,47,53,0,0,0,0,0,0,40,45,57,66,bye,46,55,61,63,533,53.3
202,Josh Doctson,WR,WAS,12,19,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,31,15.5
203,Derrick Henry,RB,TEN,21,31,24,9,22,9,6,32,0,19,3,14,bye,18,17,17,28,270,18.0
204,Carson Wentz,QB,PHI,77,72,65,bye,61,53,58,76,75,79,80,59,80,78,87,50,76,1126,70.4
205,Michael Thomas,WR,NO,55,37,72,56,bye,52,62,61,72,44,59,50,53,0,70,58,66,867,57.8
