,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
191,Leonard Fournette,RB,TB,42,31,26,64,46,47,39,37,bye,31,46,54,61,66,33,0,0,0,623,44.5
192,O.J. Howard,TE,TB,0,11,14,51,44,49,37,28,bye,28,20,0,0,0,10,24,0,0,316,28.7
193,Mitchell Trubisky,QB,BUF,0,2,8,9,0,0,bye,0,0,0,6,0,0,0,0,0,0,5,30,6.0
194,Corey Davis,WR,NYJ,58,53,51,50,45,bye,47,0,0,65,56,0,25,0,0,0,0,0,450,50.0
195,John Ross,WR,NYG,0,0,0,28,41,32,37,16,0,bye,11,11,21,11,0,0,0,0,208,23.1
196,Christian McCaffrey,RB,CAR,57,54,22,0,0,0,0,0,29,44,46,20,bye,0,0,0,0,0,272,38.9
197,David Njoku,TE,CLE,35,36,0,52,46,26,42,38,35,35,47,43,bye,0,56,39,51,39,620,41.3
198,Chris Godwin,WR,TB,64,56,70,73,51,68,61,59,bye,46,62,65,64,78,16,0,0,0,833,59.5
199,D'Onta Foreman,RB,TEN,0,0,0,0,0,0,0,0,12,21,15,31,bye,23,31,21,41,35,230,25.6
200,Evan Engram,TE,NYG,0,0,39,43,50,55,44,47,46,bye,52,54,53,51,55,59,36,38,722,48.1
201,Patrick Mahomes,QB,KC,65,51,79,67,86,82,54,81,65,73,68,bye,57,62,72,63,61,78,1164,68.5
202,Nathan Peterman,QB,LV,0,0,0,0,4,0,0,bye,0,0,0,0,0,0,0,0,0,0,4,4.0
203,Davis Webb,QB,BUF,0,0,0,0,0,0,bye,0,0,4,0,0,0,0,0,0,0,0,4,4.0
204,C.J. Beathard,QB,JAC,0,0,0,0,0,0,bye,0,6,0,0,0,1,0,0,0,0,0,7,3.5
205,Joe Mixon,RB,CIN,54,46,35,40,19,45,34,42,47,bye,53,49,50,40,31,62,50,0,697,43.6
206,Alvin Kamara,RB,NO,45,37,52,59,49,bye,61,51,52,0,0,0,0,52,37,31,45,56,627,48.2
207,Wayne Gallman,RB,Multi,0,0,0,10,3,0,3,0,0,23,2,5,0,0,0,0,0,0,46,6.6
208,Samaje Perine,RB,CIN,15,3,10,16,41,0,30,14,25,bye,11,10,26,28,16,11,20,0,276,18.4
209,Jamaal Williams,RB,DET,32,22,31,21,22,19,20,0,bye,0,13,31,34,0,0,28,20,24,317,24.4
210,Kareem Hunt,RB,CLE,28,23,33,41,32,41,0,0,0,0,0,23,bye,13,0,0,0,0,234,29.3
211,JuJu Smith-Schuster,WR,PIT,53,54,33,57,25,0,bye,0,0,0,0,0,0,0,0,0,0,0,222,44.4
212,Zay Jones,WR,LV,20,0,22,8,12,0,12,bye,66,46,34,60,51,53,59,52,48,71,614,40.9
213,Isaiah Ford,WR,MIA,0,0,0,0,3,5,19,8,0,11,0,12,14,bye,19,0,17,0,108,12.0
214,Cooper Kupp,WR,LAR,49,59,53,65,59,55,63,58,78,55,bye,62,64,52,62,68,58,64,1024,60.2
215,Curtis Samuel,WR,WAS,0,0,0,25,5,0,0,0,bye,0,0,20,20,14,0,0,0,0,84,16.8
216,Dede Westbrook,WR,MIN,15,2,6,8,14,12,bye,0,2,5,11,5,32,29,0,27,38,5,211,14.1
217,Josh Reynolds,WR,Multi,0,11,0,78,18,0,30,0,0,0,43,43,60,44,41,53,0,49,470,42.7
218,Noah Brown,WR,DAL,0,0,22,21,23,18,bye,13,25,28,43,69,12,0,0,0,0,0,274,27.4
219,Marlon Mack,RB,IND,0,13,0,22,10,9,4,1,0,0,0,0,0,bye,0,0,0,0,59,9.8
220,Jeremy McNichols,RB,TEN,23,21,18,40,15,0,10,17,26,16,0,0,bye,27,23,26,6,0,268,20.6
221,Corey Clement,RB,DAL,1,0,3,0,0,0,bye,0,5,13,0,0,0,31,0,7,0,17,77,7.0
222,James Conner,RB,ARI,34,24,25,33,29,41,21,22,54,45,68,bye,48,75,33,0,0,46,598,39.9
223,Adam Shaheen,TE,MIA,0,20,28,20,21,0,51,41,36,38,46,0,0,bye,0,0,0,0,301,33.4
224,Gerald Everett,TE,SEA,39,43,42,0,0,31,33,44,bye,46,42,37,54,38,48,47,51,55,650,43.3
225,Jonnu Smith,TE,NE,55,29,30,28,40,39,17,49,28,0,33,34,39,bye,17,21,42,25,526,32.9
226,Jeremy Sprinkle,TE,DAL,0,0,0,14,0,8,bye,0,0,0,0,0,0,0,17,17,0,22,78,13.0
227,Cooper Rush,QB,DAL,0,0,0,0,0,0,bye,73,0,14,0,0,0,0,0,12,0,11,110,27.5
