,Player,FPTS,Team,Pos
1,Vikings,0.0,MIN,DST
2,Titans,0.0,TEN,DST
3,Buccaneers,0.0,TB,DST
4,Rams,0.0,LAR,DST
5,49ers,0.0,SF,DST
6,Seahawks,0.0,SEA,DST
7,Chargers,0.0,LAC,DST
8,Steelers,0.0,PIT,DST
9,Eagles,0.0,PHI,DST
10,Raiders,0.0,LV,DST
11,Jets,0.0,NYJ,DST
12,Giants,0.0,NYG,DST
13,Saints,0.0,NO,DST
14,Patriots,0.0,NE,DST
15,Dolphins,0.0,MIA,DST
16,Falcons,0.0,ATL,DST
17,Chiefs,0.0,KC,DST
18,Jaguars,0.0,JAC,DST
19,Colts,0.0,IND,DST
20,Texans,0.0,HOU,DST
21,Packers,0.0,GB,DST
22,Lions,0.0,DET,DST
23,Broncos,0.0,DEN,DST
24,Cowboys,0.0,DAL,DST
25,Browns,0.0,CLE,DST
26,Bengals,0.0,CIN,DST
27,Bears,0.0,CHI,DST
28,Panthers,0.0,CAR,DST
29,Bills,0.0,BUF,DST
30,Ravens,0.0,BAL,DST
31,Team,0.0,WAS,DST
0,Greg Zuerlein,182.0,DAL,K
2,Robbie Gould,170.0,SF,K
3,Matt Bryant,162.0,FA,K
4,Justin Tucker,162.0,BAL,K
5,Wil Lutz,161.0,NO,K
6,Harrison Butker,160.0,KC,K
7,Chris Boswell,159.0,PIT,K
8,Ryan Succop,156.0,TB,K
9,Matt Prater,151.0,ARI,K
10,Kai Forbath,148.0,LAR,K
11,Jake Elliott,139.0,PHI,K
14,Graham Gano,131.0,NYG,K
17,Brandon McManus,109.0,DEN,K
21,Randy Bullock,91.0,TEN,K
23,Josh Lambo,87.0,FA,K
25,Aldrick Rosas,84.0,DET,K
26,Mason Crosby,84.0,GB,K
28,Zane Gonzalez,78.0,CAR,K
29,Dustin Hopkins,64.0,LAC,K
33,Jason Myers,53.0,SEA,K
35,Nick Folk,29.0,NE,K
36,Travis Coons,27.0,FA,K
37,Cairo Santos,26.0,CHI,K
38,Younghoe Koo,19.0,ATL,K
42,Michael Badgley,0.0,IND,K
43,Matt Gay,0.0,LAR,K
46,Elliott Fry,0.0,CIN,K
48,Greg Joseph,0.0,MIN,K
51,Daniel Carlson,0.0,LV,K
52,Jason Sanders,0.0,MIA,K
55,Evan McPherson,0.0,CIN,K
60,Brian Johnson,0.0,WAS,K
61,Joey Slye,0.0,WAS,K
62,Chase McLaughlin,0.0,CLE,K
63,Rodrigo Blankenship,0.0,IND,K
65,Tyler Bass,0.0,BUF,K
84,Michael Palardy,0.0,MIA,K
